date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:10	337/337	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Aug%202025%2011:49:10%20GMT	http://localhost/reftec.co.za	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.0.delayed	(from )
13:49:10	295/295	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Aug%202025%2011:49:10%20GMT	http://localhost/robots.txt		(from )
13:49:13	130504/130504	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2011:49:10%20GMT	http://localhost/reftec.co.za/	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.html	(from )
13:49:13	45738/45738	---M--	200	added ('OK')	text/css	etag:%22b2aa-63b64837a834c%22	http://localhost/reftec.co.za/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.11.8	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/themes/astra/assets/css/minified/main.min3167.css	(from http://localhost/reftec.co.za/)
13:49:15	1978/1978	---M--	200	added ('OK')	application/rss+xml	etag:%22c4b7d09cba3a42cb43a3fdef2bf58512%22	http://localhost/reftec.co.za/index.php/feed/	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/feed/index.html	(from http://localhost/reftec.co.za/)
13:49:15	1674/1674	---M--	200	added ('OK')	application/rss+xml	etag:%22c4b7d09cba3a42cb43a3fdef2bf58512%22	http://localhost/reftec.co.za/index.php/comments/feed/	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/comments/feed/index.html	(from http://localhost/reftec.co.za/)
13:49:15	3501/3501	---M--	200	added ('OK')	text/css	etag:%22dad-63b64837a92f0%22	http://localhost/reftec.co.za/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=4.11.8	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/themes/astra/assets/css/minified/menu-animation.min3167.css	(from http://localhost/reftec.co.za/)
13:49:15	116345/116345	---M--	200	added ('OK')	text/css	etag:%221c679-63b645f3fab35%22	http://localhost/reftec.co.za/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-includes/css/dist/block-library/style.min6c2d.css	(from http://localhost/reftec.co.za/)
13:49:18	20638/20638	---MC-	200	added ('OK')	application/json	date:Sun,%2003%20Aug%202025%2011:49:15%20GMT	http://localhost/reftec.co.za/index.php/wp-json/wp/v2/pages/78	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/wp/v2/pages/78.json	(from http://localhost/reftec.co.za/)
13:49:18	850/850	---M--	200	added ('OK')	text/xml	date:Sun,%2003%20Aug%202025%2011:49:17%20GMT	http://localhost/reftec.co.za/xmlrpc.php?rsd	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/xmlrpc0db0.php	(from http://localhost/reftec.co.za/)
13:49:19	2068/2068	---M--	200	added ('OK')	application/json	date:Sun,%2003%20Aug%202025%2011:49:18%20GMT	http://localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Freftec.co.za%2F	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed26fe.json	(from http://localhost/reftec.co.za/)
13:49:20	2225/2225	---M--	200	added ('OK')	text/xml	date:Sun,%2003%20Aug%202025%2011:49:19%20GMT	http://localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Freftec.co.za%2F&format=xml	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed85ba	(from http://localhost/reftec.co.za/)
13:49:20	1836/1836	---M--	200	added ('OK')	image/png	etag:%2272c-63b65336eb8f5%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/cropped-REFTEC_Favicon_512x512-1-32x32.png	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/cropped-REFTEC_Favicon_512x512-1-32x32.png	(from http://localhost/reftec.co.za/)
13:49:23	13681/13681	---M--	200	added ('OK')	image/png	etag:%223571-63b65160629a7%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/cropped-RefTec_Logo-2048x819-1.png	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/cropped-RefTec_Logo-2048x819-1.png	(from http://localhost/reftec.co.za/)
13:49:25	27460/27460	---M--	200	added ('OK')	image/png	etag:%226b44-63b65336dd782%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/cropped-REFTEC_Favicon_512x512-1-192x192.png	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/cropped-REFTEC_Favicon_512x512-1-192x192.png	(from http://localhost/reftec.co.za/)
13:49:25	24698/24698	---M--	200	added ('OK')	image/png	etag:%22607a-63b65336e73de%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/cropped-REFTEC_Favicon_512x512-1-180x180.png	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/cropped-REFTEC_Favicon_512x512-1-180x180.png	(from http://localhost/reftec.co.za/)
13:49:28	113704/113704	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Aug%202025%2011:49:23%20GMT	http://localhost/reftec.co.za/wp-content/themes/hello-biz/assets/images/starter-content/starter-content-believe-bg.png	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/themes/hello-biz/assets/images/starter-content/starter-content-believe-bg.png	(from http://localhost/reftec.co.za/)
13:49:32	107643/107643	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2011:49:25%20GMT	http://localhost/reftec.co.za/index.php/our-services/	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/our-services/index.html	(from http://localhost/reftec.co.za/)
13:49:32	117266/117266	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2011:49:25%20GMT	http://localhost/reftec.co.za/index.php/about-us/	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/about-us/index.html	(from http://localhost/reftec.co.za/)
13:49:34	112803/112803	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2011:49:29%20GMT	http://localhost/reftec.co.za/index.php/contact-us/	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/contact-us/index.html	(from http://localhost/reftec.co.za/)
13:49:34	298/298	---M--	403	error ('Forbidden')	text/html	date:Sun,%2003%20Aug%202025%2011:49:34%20GMT	http://localhost/reftec.co.za/'http://localhost/reftec.co.za/wp-content/themes/hello-biz/assets/images/starter-content/starter-content-bg-shapes.png'	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/'http_/localhost/reftec.co.za/wp-content/themes/hello-biz/assets/images/starter-content/starter-content-bg-shapes.f.delayed	(from http://localhost/reftec.co.za/)
13:49:38	113704/113704	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Aug%202025%2011:49:34%20GMT	http://localhost/reftec.co.za/wp-content/themes/hello-biz/assets/images/starter-content/starter-content-icon-social-media.svg	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/themes/hello-biz/assets/images/starter-content/starter-content-icon-social-media.svg	(from http://localhost/reftec.co.za/)
13:49:42	113704/113704	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Aug%202025%2011:49:38%20GMT	http://localhost/reftec.co.za/wp-content/themes/hello-biz/assets/images/starter-content/starter-content-icon-seo.svg	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/themes/hello-biz/assets/images/starter-content/starter-content-icon-seo.svg	(from http://localhost/reftec.co.za/)
13:49:46	113704/113704	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Aug%202025%2011:49:42%20GMT	http://localhost/reftec.co.za/wp-content/themes/hello-biz/assets/images/starter-content/starter-content-icon-ppc.svg	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/themes/hello-biz/assets/images/starter-content/starter-content-icon-ppc.svg	(from http://localhost/reftec.co.za/)
13:49:52	91826/91826	---M--	200	added ('OK')	image/jpeg	etag:%22166b2-637087f01f728%22	http://localhost/reftec.co.za/wp-content/uploads/2025/06/pexels-photo-813872-813872-1024x611.jpg	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/06/pexels-photo-813872-813872-1024x611.jpg	(from http://localhost/reftec.co.za/)
